pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
3,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709518,-13
4,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709521,-13
5,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709524,-14
6,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731209,-11
7,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731212,-9
8,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731215,-12
9,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731218,-13
10,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731221,-10
11,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731225,-11
12,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731228,-12
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731231,-13
14,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731234,-11
15,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731237,-13
16,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731240,-10
17,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731243,-10
18,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731247,-13
19,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731250,-16
20,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731253,-12
21,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731256,-10
22,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731259,-11
23,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731262,-9
24,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731266,-11
25,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731269,-8
26,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731272,-10
27,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731275,-11
28,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731278,-10
29,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731281,-14
30,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731285,-12
31,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731288,-14
32,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731291,-10
33,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731294,-14
34,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731297,-16
